slug,name,type,url
"next-star-venture-capital-llp","Next Star Venture Capital LLP","Accelerator","https://vcdekho.com/funds/next-star-venture-capital-llp"
"artha-venture-fund","Artha Venture Fund","Family Office","https://vcdekho.com/funds/artha-venture-fund"
"aarin-capital","Aarin Capital","Family Office","https://vcdekho.com/funds/aarin-capital"
"catamaran","Catamaran","Family Office","https://vcdekho.com/funds/catamaran"
"pratithi-investments","Pratithi Investments","Family Office","https://vcdekho.com/funds/pratithi-investments"
"spectrum-impact","Spectrum Impact","Family Office","https://vcdekho.com/funds/spectrum-impact"
"reddy-ventures","Reddy Ventures","Family Office","https://vcdekho.com/funds/reddy-ventures"
"2am-vc","2am VC","Venture Capital","https://vcdekho.com/funds/2am-vc"
"westbridge-capital","WestBridge Capital","Private Equity","https://vcdekho.com/funds/westbridge-capital"
"aarii-ventures","Aarii Ventures","Venture Capital","https://vcdekho.com/funds/aarii-ventures"
"midas-capital-baheti-family-office","Midas Capital | Baheti Family Office","Family Office","https://vcdekho.com/funds/midas-capital-baheti-family-office"
"unilazer-ventures","Unilazer Ventures","Family Office","https://vcdekho.com/funds/unilazer-ventures"
"hunch-ventures-and-investments-pvt-ltd","Hunch Ventures & Investments Pvt Ltd","Venture Capital","https://vcdekho.com/funds/hunch-ventures-and-investments-pvt-ltd"
"aroa-venture-partners","Aroa Venture Partners","Venture Capital","https://vcdekho.com/funds/aroa-venture-partners"
"aakash-emprise-pvt-ltd","Aakash Emprise Pvt Ltd","Family Office","https://vcdekho.com/funds/aakash-emprise-pvt-ltd"
"malpani-ventures","Malpani Ventures","Angel / Individual","https://vcdekho.com/funds/malpani-ventures"
"siana-capital","Siana Capital","Venture Capital","https://vcdekho.com/funds/siana-capital"
"rainmatter","Rainmatter","Corporate / CVC","https://vcdekho.com/funds/rainmatter"
"fluid-ventures","Fluid Ventures","Venture Capital","https://vcdekho.com/funds/fluid-ventures"
"gsf","GSF","Accelerator","https://vcdekho.com/funds/gsf"
"zeca-capital","ZeCa Capital","Venture Capital","https://vcdekho.com/funds/zeca-capital"
"seafund","seafund","Venture Capital","https://vcdekho.com/funds/seafund"
"iima-ventures","IIMA Ventures","Accelerator","https://vcdekho.com/funds/iima-ventures"
"elevation-capital","Elevation Capital","Venture Capital","https://vcdekho.com/funds/elevation-capital"
"ivycap-ventures","IvyCap Ventures","Venture Capital","https://vcdekho.com/funds/ivycap-ventures"
"sales-force-ventures","Sales Force Ventures","Corporate / CVC","https://vcdekho.com/funds/sales-force-ventures"
"8i-ventures","8i Ventures","Venture Capital","https://vcdekho.com/funds/8i-ventures"
"eaglewings-ventures","Eaglewings Ventures","Venture Capital","https://vcdekho.com/funds/eaglewings-ventures"
"247vc","247VC","Venture Capital","https://vcdekho.com/funds/247vc"
"bharat-founders-fund","Bharat Founders Fund","Venture Capital","https://vcdekho.com/funds/bharat-founders-fund"
"good-capital","Good Capital","Venture Capital","https://vcdekho.com/funds/good-capital"
"panthera-peak","Panthera Peak","Venture Capital","https://vcdekho.com/funds/panthera-peak"
"peercheque","peercheque","Syndicate / Network","https://vcdekho.com/funds/peercheque"
"mars-shot-ventures","Mars Shot Ventures","Venture Capital","https://vcdekho.com/funds/mars-shot-ventures"
"otp-ventures","OTP Ventures","Venture Capital","https://vcdekho.com/funds/otp-ventures"
"prath-ventures","Prath Ventures","Venture Capital","https://vcdekho.com/funds/prath-ventures"
"aeravti-ventures","Aeravti Ventures","Venture Capital","https://vcdekho.com/funds/aeravti-ventures"
"bulleon-ventures","Bulleon Ventures","Venture Capital","https://vcdekho.com/funds/bulleon-ventures"
"mount-judi-ventures","Mount Judi Ventures","Venture Capital","https://vcdekho.com/funds/mount-judi-ventures"
"pointone-capital","PointOne Capital","Venture Capital","https://vcdekho.com/funds/pointone-capital"
"vicus-ventures","Vicus Ventures","Venture Capital","https://vcdekho.com/funds/vicus-ventures"
"uncork-capital","Uncork Capital","Venture Capital","https://vcdekho.com/funds/uncork-capital"
"character","Character","Venture Capital","https://vcdekho.com/funds/character"
"south-loop-ventures","South Loop Ventures","Venture Capital","https://vcdekho.com/funds/south-loop-ventures"
"a100x-ventures","A100x Ventures","Venture Capital","https://vcdekho.com/funds/a100x-ventures"
"verb-ventures","Verb Ventures","Venture Capital","https://vcdekho.com/funds/verb-ventures"
"sierra-ventures","Sierra Ventures","Venture Capital","https://vcdekho.com/funds/sierra-ventures"
