slug,name,company,url
"rishaad-currimjee","Rishaad Currimjee","Golden Sparrow","https://vcdekho.com/investors/rishaad-currimjee"
"satrajit-neogy","Satrajit Neogy","Ideaspring Capital","https://vcdekho.com/investors/satrajit-neogy"
"sulesh-kumar","Sulesh Kumar","Ideaspring Capital","https://vcdekho.com/investors/sulesh-kumar"
"aviral-bhatnagar","Aviral Bhatnagar","AJVC","https://vcdekho.com/investors/aviral-bhatnagar"
"bipin-shah","Bipin Shah","Zeropearl VC","https://vcdekho.com/investors/bipin-shah"
"alben-d-souza","Alben D Souza","Zeropearl VC","https://vcdekho.com/investors/alben-d-souza"
"karteek-pulapaka","Karteek Pulapaka","Java Capital","https://vcdekho.com/investors/karteek-pulapaka"
"bhargavi-v","Bhargavi V.","Java Capital","https://vcdekho.com/investors/bhargavi-v"
"vinod-shankar","Vinod Shankar","Java Capital","https://vcdekho.com/investors/vinod-shankar"
"arjun-rao","Arjun Rao","Speciale Invest","https://vcdekho.com/investors/arjun-rao"
"vishesh-rajaram","Vishesh Rajaram","Speciale Invest","https://vcdekho.com/investors/vishesh-rajaram"
"akshat-prakash","Akshat Prakash","IAN Group (formerly Indian Angel Network)","https://vcdekho.com/investors/akshat-prakash"
"karthik-parasuram-b","Karthik Parasuram B","IAN Group (formerly Indian Angel Network)","https://vcdekho.com/investors/karthik-parasuram-b"
"ankita-balotia","Ankita Balotia","Fireside Ventures","https://vcdekho.com/investors/ankita-balotia"
"adarsh-menon","Adarsh Menon","Fireside Ventures","https://vcdekho.com/investors/adarsh-menon"
"dipanjan-basu","Dipanjan Basu","Fireside Ventures","https://vcdekho.com/investors/dipanjan-basu"
"ashwin-kannan-pandian","Ashwin Kannan Pandian","Z47","https://vcdekho.com/investors/ashwin-kannan-pandian"
"rajat-agarwal","Rajat Agarwal","Z47","https://vcdekho.com/investors/rajat-agarwal"
"rajinder-balaraman","Rajinder Balaraman","Z47","https://vcdekho.com/investors/rajinder-balaraman"
"aditya-deshpande","Aditya Deshpande","Lumikai Fund","https://vcdekho.com/investors/aditya-deshpande"
"salone-sehgal","Salone Sehgal","Lumikai Fund","https://vcdekho.com/investors/salone-sehgal"
"karan-sethi","Karan Sethi","Rukam Capital","https://vcdekho.com/investors/karan-sethi"
"aditya-vikram-singh","Aditya Vikram Singh","Rukam Capital","https://vcdekho.com/investors/aditya-vikram-singh"
"vikram-nanda","Vikram Nanda","A91 Partners","https://vcdekho.com/investors/vikram-nanda"
"prasun-agarwal","Prasun Agarwal","A91 Partners","https://vcdekho.com/investors/prasun-agarwal"
"aakash-shankar","Aakash Shankar","A91 Partners","https://vcdekho.com/investors/aakash-shankar"
